onset	duration	trial_type	value	sample
14.326	0.0	Stimulus	1	14326
15.443	0.0	Stimulus	1	15443
16.559	0.0	Stimulus	1	16559
17.676	0.0	Stimulus	1	17676
18.793	0.0	Stimulus	1	18793
19.909	0.0	Stimulus	1	19909
21.026	0.0	Stimulus	1	21026
22.143	0.0	Stimulus	1	22143
23.259	0.0	Stimulus	1	23259
24.376	0.0	Stimulus	1	24376
25.493	0.0	Stimulus	1	25493
26.609	0.0	Stimulus	1	26609
27.726	0.0	Stimulus	1	27726
28.842	0.0	Stimulus	1	28842
29.959	0.0	Stimulus	1	29959
31.076	0.0	Stimulus	1	31076
32.192	0.0	Stimulus	1	32192
33.309	0.0	Catch Trial	99	33309
33.893	0.0	Button Press	999	33893
34.426	0.0	Stimulus	1	34426
35.542	0.0	Stimulus	1	35542
36.659	0.0	Stimulus	1	36659
37.776	0.0	Stimulus	1	37776
38.892	0.0	Stimulus	1	38892
40.009	0.0	Stimulus	1	40009
41.125	0.0	Stimulus	1	41125
42.242	0.0	Stimulus	1	42242
43.359	0.0	Stimulus	1	43359
44.475	0.0	Stimulus	1	44475
45.592	0.0	Stimulus	1	45592
46.709	0.0	Stimulus	1	46709
47.825	0.0	Catch Trial	99	47825
48.421	0.0	Button Press	999	48421
48.942	0.0	Stimulus	1	48942
50.058	0.0	Stimulus	1	50058
51.175	0.0	Stimulus	1	51175
52.292	0.0	Stimulus	1	52292
53.408	0.0	Stimulus	1	53408
54.525	0.0	Stimulus	1	54525
55.642	0.0	Stimulus	1	55642
56.758	0.0	Stimulus	1	56758
57.875	0.0	Stimulus	1	57875
58.992	0.0	Stimulus	1	58992
60.108	0.0	Stimulus	1	60108
61.225	0.0	Stimulus	1	61225
62.341	0.0	Stimulus	1	62341
63.458	0.0	Stimulus	1	63458
64.575	0.0	Stimulus	1	64575
65.691	0.0	Stimulus	1	65691
66.808	0.0	Stimulus	1	66808
67.925	0.0	Stimulus	1	67925
69.041	0.0	Stimulus	1	69041
70.158	0.0	Stimulus	1	70158
71.275	0.0	Stimulus	1	71275
72.02	0.0	Button Press	999	72020
72.391	0.0	Stimulus	1	72391
73.508	0.0	Stimulus	1	73508
74.624	0.0	Stimulus	1	74624
75.741	0.0	Stimulus	1	75741
76.858	0.0	Catch Trial	99	76858
77.974	0.0	Stimulus	1	77974
79.091	0.0	Stimulus	1	79091
80.208	0.0	Stimulus	1	80208
81.324	0.0	Stimulus	1	81324
82.441	0.0	Stimulus	1	82441
83.558	0.0	Stimulus	1	83558
84.674	0.0	Stimulus	1	84674
85.791	0.0	Stimulus	1	85791
86.907	0.0	Stimulus	1	86907
88.024	0.0	Stimulus	1	88024
89.141	0.0	Stimulus	1	89141
90.257	0.0	Stimulus	1	90257
91.374	0.0	Stimulus	1	91374
92.491	0.0	Stimulus	1	92491
93.607	0.0	Stimulus	1	93607
94.724	0.0	Stimulus	1	94724
95.84	0.0	Catch Trial	99	95840
96.524	0.0	Button Press	999	96524
96.957	0.0	Stimulus	1	96957
98.074	0.0	Stimulus	1	98074
99.19	0.0	Stimulus	1	99190
100.307	0.0	Stimulus	1	100307
101.424	0.0	Stimulus	1	101424
102.54	0.0	Stimulus	1	102540
103.657	0.0	Stimulus	1	103657
104.774	0.0	Stimulus	1	104774
105.89	0.0	Stimulus	1	105890
107.007	0.0	Stimulus	1	107007
108.123	0.0	Stimulus	1	108123
109.24	0.0	Stimulus	1	109240
110.357	0.0	Stimulus	1	110357
111.473	0.0	Stimulus	1	111473
112.59	0.0	Stimulus	1	112590
113.707	0.0	Stimulus	1	113707
114.823	0.0	Stimulus	1	114823
115.94	0.0	Stimulus	1	115940
117.057	0.0	Catch Trial	99	117057
117.66	0.0	Button Press	999	117660
118.173	0.0	Stimulus	1	118173
119.29	0.0	Stimulus	1	119290
120.406	0.0	Stimulus	1	120406
121.523	0.0	Stimulus	1	121523
122.64	0.0	Stimulus	1	122640
123.756	0.0	Stimulus	1	123756
124.873	0.0	Stimulus	1	124873
125.99	0.0	Stimulus	1	125990
127.106	0.0	Stimulus	1	127106
128.223	0.0	Stimulus	1	128223
129.34	0.0	Stimulus	1	129340
130.456	0.0	Stimulus	1	130456
131.573	0.0	Stimulus	1	131573
132.689	0.0	Stimulus	1	132689
133.806	0.0	Stimulus	1	133806
134.923	0.0	Stimulus	1	134923
136.039	0.0	Stimulus	1	136039
137.156	0.0	Stimulus	1	137156
138.273	0.0	Stimulus	1	138273
139.389	0.0	Catch Trial	99	139389
140.506	0.0	Stimulus	1	140506
141.623	0.0	Stimulus	1	141623
142.739	0.0	Stimulus	1	142739
143.856	0.0	Stimulus	1	143856
144.972	0.0	Stimulus	1	144972
146.089	0.0	Stimulus	1	146089
147.206	0.0	Stimulus	1	147206
148.322	0.0	Stimulus	1	148322
149.439	0.0	Stimulus	1	149439
150.556	0.0	Stimulus	1	150556
151.672	0.0	Stimulus	1	151672
152.789	0.0	Stimulus	1	152789
153.906	0.0	Stimulus	1	153906
155.022	0.0	Stimulus	1	155022
156.139	0.0	Catch Trial	99	156139
156.539	0.0	Button Press	999	156539
157.255	0.0	Stimulus	1	157255
158.372	0.0	Stimulus	1	158372
159.489	0.0	Stimulus	1	159489
160.605	0.0	Stimulus	1	160605
161.722	0.0	Stimulus	1	161722
162.839	0.0	Stimulus	1	162839
163.955	0.0	Stimulus	1	163955
165.072	0.0	Stimulus	1	165072
166.188	0.0	Stimulus	1	166188
167.322	0.0	Stimulus	1	167322
168.438	0.0	Stimulus	1	168438
169.555	0.0	Stimulus	1	169555
170.672	0.0	Stimulus	1	170672
171.788	0.0	Stimulus	1	171788
172.905	0.0	Stimulus	1	172905
174.022	0.0	Stimulus	1	174022
175.138	0.0	Catch Trial	99	175138
175.747	0.0	Button Press	999	175747
176.255	0.0	Stimulus	1	176255
177.371	0.0	Stimulus	1	177371
178.488	0.0	Stimulus	1	178488
179.605	0.0	Stimulus	1	179605
180.721	0.0	Stimulus	1	180721
181.838	0.0	Stimulus	1	181838
182.955	0.0	Stimulus	1	182955
184.071	0.0	Stimulus	1	184071
185.188	0.0	Stimulus	1	185188
186.305	0.0	Stimulus	1	186305
187.421	0.0	Stimulus	1	187421
188.538	0.0	Stimulus	1	188538
189.654	0.0	Stimulus	1	189654
190.771	0.0	Stimulus	1	190771
191.888	0.0	Stimulus	1	191888
193.004	0.0	Stimulus	1	193004
194.121	0.0	Stimulus	1	194121
195.238	0.0	Stimulus	1	195238
196.354	0.0	Stimulus	1	196354
197.471	0.0	Stimulus	1	197471
198.588	0.0	Catch Trial	99	198588
199.378	0.0	Button Press	999	199378
199.704	0.0	Stimulus	1	199704
200.821	0.0	Stimulus	1	200821
201.937	0.0	Stimulus	1	201937
203.054	0.0	Stimulus	1	203054
204.171	0.0	Stimulus	1	204171
205.287	0.0	Stimulus	1	205287
206.404	0.0	Stimulus	1	206404
207.521	0.0	Stimulus	1	207521
208.637	0.0	Stimulus	1	208637
209.754	0.0	Stimulus	1	209754
210.87	0.0	Stimulus	1	210870
211.987	0.0	Stimulus	1	211987
213.104	0.0	Stimulus	1	213104
214.22	0.0	Stimulus	1	214220
215.337	0.0	Catch Trial	99	215337
216.098	0.0	Button Press	999	216098
216.454	0.0	Stimulus	1	216454
217.57	0.0	Stimulus	1	217570
218.687	0.0	Stimulus	1	218687
219.804	0.0	Stimulus	1	219804
220.92	0.0	Stimulus	1	220920
222.037	0.0	Stimulus	1	222037
223.153	0.0	Stimulus	1	223153
224.27	0.0	Stimulus	1	224270
225.387	0.0	Stimulus	1	225387
226.503	0.0	Stimulus	1	226503
227.62	0.0	Stimulus	1	227620
228.737	0.0	Stimulus	1	228737
229.853	0.0	Stimulus	1	229853
230.97	0.0	Stimulus	1	230970
232.087	0.0	Stimulus	1	232087
233.203	0.0	Stimulus	1	233203
234.32	0.0	Catch Trial	99	234320
234.826	0.0	Button Press	999	234826
235.436	0.0	Stimulus	1	235436
236.553	0.0	Stimulus	1	236553
237.67	0.0	Stimulus	1	237670
238.786	0.0	Stimulus	1	238786
239.903	0.0	Stimulus	1	239903
241.02	0.0	Stimulus	1	241020
242.136	0.0	Stimulus	1	242136
243.253	0.0	Stimulus	1	243253
244.37	0.0	Stimulus	1	244370
245.486	0.0	Stimulus	1	245486
246.603	0.0	Stimulus	1	246603
247.719	0.0	Stimulus	1	247719
248.836	0.0	Stimulus	1	248836
249.953	0.0	Stimulus	1	249953
251.069	0.0	Stimulus	1	251069
252.186	0.0	Catch Trial	99	252186
252.601	0.0	Button Press	999	252601
253.303	0.0	Stimulus	1	253303
254.419	0.0	Stimulus	1	254419
255.536	0.0	Stimulus	1	255536
256.653	0.0	Stimulus	1	256653
257.769	0.0	Stimulus	1	257769
258.886	0.0	Stimulus	1	258886
260.002	0.0	Stimulus	1	260002
261.119	0.0	Stimulus	1	261119
262.236	0.0	Stimulus	1	262236
263.352	0.0	Stimulus	1	263352
264.469	0.0	Stimulus	1	264469
265.586	0.0	Stimulus	1	265586
266.702	0.0	Stimulus	1	266702
267.819	0.0	Stimulus	1	267819
268.936	0.0	Stimulus	1	268936
270.052	0.0	Stimulus	1	270052
271.169	0.0	Stimulus	1	271169
272.285	0.0	Stimulus	1	272285
273.402	0.0	Stimulus	1	273402
274.519	0.0	Stimulus	1	274519
275.635	0.0	Stimulus	1	275635
276.752	0.0	Catch Trial	99	276752
277.409	0.0	Button Press	999	277409
277.869	0.0	Stimulus	1	277869
278.985	0.0	Stimulus	1	278985
280.102	0.0	Stimulus	1	280102
281.219	0.0	Stimulus	1	281219
282.335	0.0	Stimulus	1	282335
283.452	0.0	Stimulus	1	283452
284.568	0.0	Stimulus	1	284568
285.685	0.0	Stimulus	1	285685
286.802	0.0	Stimulus	1	286802
287.918	0.0	Stimulus	1	287918
289.035	0.0	Stimulus	1	289035
290.152	0.0	Stimulus	1	290152
291.268	0.0	Stimulus	1	291268
292.385	0.0	Stimulus	1	292385
293.501	0.0	Stimulus	1	293501
294.618	0.0	Stimulus	1	294618
295.735	0.0	Stimulus	1	295735
296.851	0.0	Stimulus	1	296851
297.968	0.0	Stimulus	1	297968
299.085	0.0	Catch Trial	99	299085
300.201	0.0	Stimulus	1	300201
301.318	0.0	Stimulus	1	301318
302.435	0.0	Stimulus	1	302435
303.551	0.0	Stimulus	1	303551
304.668	0.0	Stimulus	1	304668
305.784	0.0	Stimulus	1	305784
306.901	0.0	Stimulus	1	306901
308.018	0.0	Stimulus	1	308018
309.134	0.0	Stimulus	1	309134
310.251	0.0	Stimulus	1	310251
311.368	0.0	Stimulus	1	311368
312.484	0.0	Stimulus	1	312484
313.601	0.0	Stimulus	1	313601
314.718	0.0	Stimulus	1	314718
